OID_,SOURCE_ID,Red__6162021_,Green__6162021_,Blue__6162021_,BI__6162021_,GLI__6162021_,NGRDI__6162021_,VARI__6162021_,BGI__6162021_,ExG__6162021_,ExR__6162021_,ExB__6162021_,ExGR__6162021_,MGRVI__6162021_,RGBVI__6162021_,GRRI__6162021_,VEG__6162021_,Red__6222021_,Green__6222021_,Blue__6222021_,BI__6222021_,GLI__6222021_,NGRDI__6222021_,VARI__6222021_,BGI__6222021_,ExG__6222021_,ExR__6222021_,ExB__6222021_,ExGR__6222021_,MGRVI__6222021_,RGBVI__6222021_,GRRI__6222021_,VEG__6222021_,Red__6302021_,Green__6302021_,Blue__6302021_,BI__6302021_,GLI__6302021_,NGRDI__6302021_,VARI__6302021_,BGI__6302021_,ExG__6302021_,ExR__6302021_,ExB__6302021_,ExGR__6302021_,MGRVI__6302021_,RGBVI__6302021_,GRRI__6302021_,VEG__6302021_,Red__7122021_,Green__7122021_,Blue__7122021_,BI__7122021_,GLI__7122021_,NGRDI__7122021_,VARI__7122021_,BGI__7122021_,ExG__7122021_,ExR__7122021_,ExB__7122021_,ExGR__7122021_,MGRVI__7122021_,RGBVI__7122021_,GRRI__7122021_,VEG__7122021_,Elevation_,Moisture__,X,Y,CLUSTER_ID,IS_SEED
11,11,75.093000000000004,101.189999999999998,66.974999999999994,82.389371030000007,0.175097547000000,0.148040367000000,0.238747393000000,0.661873703000000,60.311999999999998,0.016197617000000,-0.030523148000000,60.295802379999998,0.289731004000000,0.341223458000000,1.347529064000000,1.399857482000000,68.858000000000004,99.899000000000001,61.770000000000003,78.606122040000002,0.209335827000000,0.183939037000000,0.290138054000000,0.618324508000000,69.170000000000002,-0.015173060000000,-0.058218777000000,69.185173059999997,0.355838777000000,0.402331455000000,1.450797293000000,1.504238195000000,53.988000000000000,81.206000000000003,48.018999999999998,62.755990259999997,0.228444249000000,0.201325503000000,0.312222541000000,0.591323301000000,60.405000000000001,-0.030689962000000,-0.076301354000000,60.435689959999998,0.386966495000000,0.435618136000000,1.504149070000000,1.563994761000000,43.375999999999998,64.575999999999993,36.868000000000002,49.701732280000002,0.233567021000000,0.196383578000000,0.298238704000000,0.570924182000000,48.908000000000001,-0.026581964000000,-0.089495926000000,48.934581960000003,0.378181996000000,0.445616870000000,1.488749539000000,1.571561619000000,1146.188693999999941,16.274866740000000,-93.529889440000005,44.077434660000002,3,0
12,12,82.049999999999997,107.879999999999995,74.694999999999993,89.348829359999996,0.158427404000000,0.135997473000000,0.224150649000000,0.692389692000000,59.015000000000001,0.026414738000000,-0.012496930000000,58.988585260000001,0.267055667000000,0.310093191000000,1.314808044000000,1.356576974000000,77.274000000000001,107.870000000000005,70.180000000000007,86.664949419999999,0.188015221000000,0.165255153000000,0.266135486000000,0.650597942000000,68.286000000000001,0.001228243000000,-0.037669784000000,68.284771759999998,0.321724252000000,0.364197083000000,1.395941714000000,1.441429331000000,57.652999999999999,83.040999999999997,51.523000000000003,65.509021309999994,0.206736952000000,0.180448349000000,0.284711397000000,0.620452548000000,56.905999999999999,-0.012105069000000,-0.056752524000000,56.918105070000003,0.349515899000000,0.397856015000000,1.440358698000000,1.495298768000000,46.533999999999999,68.945999999999998,39.374000000000002,53.132776909999997,0.232278820000000,0.194076896000000,0.294484009000000,0.571084617000000,51.984000000000002,-0.024528911000000,-0.089260852000000,52.008528910000003,0.374064344000000,0.443580095000000,1.481626338000000,1.566395591000000,1145.875610000000052,16.355805499999999,-93.529889440000005,44.077395660000001,2,0
13,13,83.831999999999994,111.349999999999994,72.241000000000000,90.637352129999996,0.175902189000000,0.140986361000000,0.223830943000000,0.648774136000000,66.626999999999995,0.022491708000000,-0.038188937000000,66.604508289999998,0.276477144000000,0.343686754000000,1.328251742000000,1.395728280000000,87.531999999999996,121.349999999999994,79.212999999999994,97.745200890000007,0.185507211000000,0.161900020000000,0.260802505000000,0.652764730000000,75.954999999999998,0.004147243000000,-0.036279005000000,75.950852760000004,0.315529502000000,0.359756783000000,1.386350135000000,1.433227950000000,76.341999999999999,110.489999999999995,70.671999999999997,87.617868509999994,0.200997842000000,0.182773829000000,0.293973829000000,0.639623495000000,73.965999999999994,-0.014023860000000,-0.044850565000000,73.980023860000003,0.353730829000000,0.387018643000000,1.447302926000000,1.484979022000000,45.667000000000002,66.703000000000003,38.621000000000002,51.724741790000003,0.225628635000000,0.187202990000000,0.285237766000000,0.578999445000000,49.118000000000002,-0.018340166000000,-0.083671212000000,49.136340169999997,0.361729195000000,0.432252854000000,1.460638973000000,1.544465746000000,1148.444823999999926,15.603596050000000,-93.530981440000005,44.077863659999998,1,0
14,14,81.298000000000002,107.829999999999998,75.159000000000006,89.229197360000001,0.159097811000000,0.140285944000000,0.232800147000000,0.697013818000000,59.203000000000003,0.022654160000000,-0.009865790000000,59.180345840000001,0.275156763000000,0.311036279000000,1.326354892000000,1.361490661000000,75.634000000000000,106.060000000000002,69.257000000000005,85.177770190000004,0.188310724000000,0.167457373000000,0.270604872000000,0.652998303000000,67.228999999999999,-0.000686987000000,-0.036262856000000,67.229686990000005,0.325779254000000,0.364564407000000,1.402279398000000,1.444019087000000,58.584000000000003,84.028999999999996,52.003000000000000,66.325635829999996,0.206251682000000,0.178419920000000,0.280818894000000,0.618869676000000,57.470999999999997,-0.010335224000000,-0.057676656000000,57.481335219999998,0.345830777000000,0.397166680000000,1.434333606000000,1.492392753000000,46.262000000000000,69.519000000000005,40.039000000000001,53.467078739999998,0.234034055000000,0.200870609000000,0.307055531000000,0.575943267000000,52.737000000000002,-0.030498011000000,-0.086409960000000,52.767498009999997,0.386160046000000,0.445853233000000,1.502723618000000,1.576782988000000,1145.509086999999909,16.338355379999999,-93.529889440000005,44.077356660000000,2,0
15,15,83.239999999999995,110.030000000000001,75.566000000000003,90.821654640000006,0.161677216000000,0.138614374000000,0.227604839000000,0.686776334000000,61.253999999999998,0.024200628000000,-0.015762770000000,61.229799370000002,0.272002506000000,0.316169878000000,1.321840461000000,1.365107708000000,75.721999999999994,105.329999999999998,68.768000000000001,84.768838630000005,0.186315641000000,0.163533129000000,0.263688504000000,0.652881420000000,66.170000000000002,0.002725162000000,-0.036245297000000,66.167274840000005,0.318547319000000,0.361138597000000,1.391009218000000,1.436353345000000,55.551000000000002,81.388000000000005,49.207999999999998,63.590742010000000,0.216857607000000,0.188675250000000,0.294502513000000,0.604610016000000,58.017000000000003,-0.019428731000000,-0.067134039000000,58.036428729999997,0.364379201000000,0.415755055000000,1.465104139000000,1.525467638000000,43.029000000000003,65.087000000000003,36.432000000000002,49.716204720000000,0.241910940000000,0.204021606000000,0.307711623000000,0.559743113000000,50.713000000000001,-0.033527963000000,-0.097422310000000,50.746527960000002,0.391737223000000,0.459804960000000,1.512631016000000,1.598827668000000,1145.289741000000049,16.243424520000001,-93.529889440000005,44.077317659999999,2,0
16,16,83.016999999999996,110.269999999999996,74.007000000000005,90.421846990000006,0.168225784000000,0.140997584000000,0.228479209000000,0.671143557000000,63.515999999999998,0.022274350000000,-0.024917132000000,63.493725650000002,0.276498294000000,0.328663674000000,1.328282159000000,1.380082725000000,77.326999999999998,107.840000000000003,69.655000000000001,86.526969890000004,0.189427070000000,0.164786382000000,0.264154374000000,0.645910608000000,68.697999999999993,0.001639576000000,-0.040510631000000,68.696360420000005,0.320859956000000,0.366911826000000,1.394596971000000,1.443975683000000,56.103000000000002,82.236999999999995,49.845999999999997,64.278286879999996,0.216420201000000,0.188911378000000,0.295319457000000,0.606126196000000,58.524999999999999,-0.019623139000000,-0.066171766000000,58.544623139999999,0.364803816000000,0.414921417000000,1.465821792000000,1.524693841000000,44.207000000000001,66.691999999999993,37.792999999999999,51.089439749999997,0.238569253000000,0.202752054000000,0.307567094000000,0.566679662000000,51.384000000000000,-0.032296290000000,-0.092686896000000,51.416296289999998,0.389492688000000,0.453884197000000,1.508629855000000,1.589473275000000,1145.223469999999907,16.281209629999999,-93.529889440000005,44.077278659999998,2,0
17,17,79.320999999999998,105.209999999999994,71.058999999999997,86.429830159999995,0.166407982000000,0.140296210000000,0.228153201000000,0.675401578000000,60.039999999999999,0.022846747000000,-0.022408545000000,60.017153250000000,0.275176122000000,0.325200428000000,1.326382673000000,1.375865392000000,72.085999999999999,102.310000000000002,65.367999999999995,81.520351079999998,0.196349328000000,0.173306727000000,0.277213193000000,0.638920927000000,67.165999999999997,-0.005795699000000,-0.045022606000000,67.171795700000004,0.336506410000000,0.379145294000000,1.419276975000000,1.466273229000000,57.017000000000003,83.772999999999996,49.896000000000001,65.213660719999993,0.220918243000000,0.190041906000000,0.294364865000000,0.595609564000000,60.633000000000003,-0.020710487000000,-0.072992249000000,60.653710490000002,0.366835219000000,0.423102990000000,1.469263553000000,1.536007265000000,42.436000000000000,64.427000000000007,35.991000000000000,49.149447289999998,0.243278448000000,0.205786849000000,0.310291794000000,0.558632250000000,50.427000000000000,-0.035116973000000,-0.098279362000000,50.462116969999997,0.394852398000000,0.462038365000000,1.518215666000000,1.603823099000000,1145.254597999999987,16.188289009999998,-93.529889440000005,44.077239659999996,3,0
18,18,88.129000000000005,114.950000000000003,81.305999999999997,95.900797319999995,0.151414226000000,0.132071755000000,0.220254079000000,0.707316224000000,60.465000000000003,0.029645023000000,-0.003943949000000,60.435354980000000,0.259615059000000,0.296781494000000,1.304337959000000,1.339812063000000,80.736999999999995,109.620000000000005,73.679000000000002,89.374870830000006,0.173485773000000,0.151730695000000,0.247544524000000,0.672130998000000,64.823999999999998,0.012921723000000,-0.024501962000000,64.811078280000004,0.296632263000000,0.337760477000000,1.357741804000000,1.399738501000000,58.064000000000000,83.162999999999997,51.366000000000000,65.640380410000006,0.206327333000000,0.177720974000000,0.279309155000000,0.617654486000000,56.896000000000001,-0.009727249000000,-0.058416453000000,56.905727249999998,0.344559136000000,0.397386413000000,1.432264398000000,1.491932544000000,45.101999999999997,68.081000000000003,38.710999999999999,52.178394269999998,0.237977043000000,0.203025189000000,0.308558921000000,0.568602106000000,52.348999999999997,-0.032510830000000,-0.091416382000000,52.381510830000003,0.389975874000000,0.452765146000000,1.509489601000000,1.588285149000000,1145.055446999999958,16.208190070000001,-93.529889440000005,44.077200660000003,2,0
19,19,87.546000000000006,114.430000000000007,80.430000000000007,95.267189029999997,0.153423581000000,0.133104923000000,0.221183749000000,0.702875120000000,60.884000000000000,0.028803921000000,-0.006472950000000,60.855196079999999,0.261575534000000,0.300607643000000,1.307084276000000,1.344510084000000,78.585999999999999,107.010000000000005,71.343000000000004,87.018624720000005,0.176098849000000,0.153149852000000,0.248781214000000,0.666694701000000,64.090999999999994,0.011716400000000,-0.027748999000000,64.079283599999997,0.299280126000000,0.342635802000000,1.361692922000000,1.406251896000000,58.316000000000003,83.938999999999993,51.862000000000002,66.171944260000004,0.207512156000000,0.180120207000000,0.283462215000000,0.617853441000000,57.700000000000003,-0.011831009000000,-0.058378195000000,57.711831009999997,0.348920292000000,0.399336184000000,1.439381988000000,1.496713145000000,44.174999999999997,66.152000000000001,37.536999999999999,50.782359460000002,0.236393541000000,0.199198746000000,0.301923341000000,0.567435603000000,50.591999999999999,-0.029128118000000,-0.091977763000000,50.621128120000002,0.383192364000000,0.450408051000000,1.497498585000000,1.580939247000000,1144.979871999999887,16.152943189999998,-93.529889440000005,44.077161660000002,2,0
20,20,83.722999999999999,110.659999999999997,77.346000000000004,91.719827089999995,0.157564679000000,0.138576933000000,0.230157984000000,0.698951744000000,60.250999999999998,0.024112995000000,-0.008742534000000,60.226887009999999,0.271931806000000,0.308205318000000,1.321739546000000,1.357073561000000,76.245000000000005,106.049999999999997,69.858000000000004,85.518112489999993,0.184244688000000,0.163498725000000,0.265081779000000,0.658727016000000,65.997000000000000,0.002748331000000,-0.032713472000000,65.994251669999997,0.318483794000000,0.357225960000000,1.390910879000000,1.432028669000000,59.311000000000000,86.036000000000001,52.805999999999997,67.597982349999995,0.210968757000000,0.183870324000000,0.288790914000000,0.613766330000000,59.954999999999998,-0.015142844000000,-0.061102280000000,59.970142840000001,0.355714546000000,0.405368116000000,1.450590953000000,1.507806017000000,45.884999999999998,68.027000000000001,38.902999999999999,52.429474419999998,0.232138814000000,0.194378116000000,0.295191244000000,0.571875873000000,51.265999999999998,-0.024788143000000,-0.088753067000000,51.290788139999997,0.374602675000000,0.443275410000000,1.482554212000000,1.566327482000000,1144.932142000000113,16.103654649999999,-93.529889440000005,44.077122660000001,2,0
