OID_,SOURCE_ID,Red,Green__7062020_,Blue__7062020_,BI__7062020_,GLI__7062020_,NGRDI__7062020_,VARI__7062020_,BGI__7062020_,ExG__7062020_,ExR__7062020_,ExB__7062020_,ExGR__7062020_,MGRVI__7062020_,RGBVI___7062020_,GRRI___7062020_,VEG___7062020_,Red__6302020_,Green__6302020_,Blue__6302020_,BI__6302020_,GLI__6302020_,NGRDI__6302020_,VARI__6302020_,BGI__6302020_,ExG__6302020_,ExR__6302020_,ExB__6302020_,ExGR__6302020_,MGRVI__6302020_,RGBVI__6302020_,GRRI__6302020_,VEG__6302020_,Red__6232020_,Green__6232020_,Blue__6232020_,BI__6232020_,GLI__6232020_,NGRDI__6232020_,VARI__6232020_,BGI__6232020_,ExG__6232020_,ExR__6232020_,ExB__6232020_,ExGR__6232020_,MGRVI__6232020_,RGBVI__6232020_,GRRI__6232020_,VEG__6232020_,Red__6182020_,Green__6182020_,Blue__6182020_,BI__6182020_,GLI__6182020_,NGRDI__6182020_,VARI__6182020_,BGI__6182020_,ExG__6182020_,ExR__6182020_,ExB__6182020_,ExGR__6182020_,MGRVI__6182020_,RGBVI__6182020_,GRRI__6182020_,VEG__6182020_,Elevation_,Moisture__,Yld_Mass_D,Yld_Vol_Dr,X,Y,CLUSTER_ID,IS_SEED
301,301,63.579999999999998,94.043999999999997,56.911999999999999,73.315905689999994,0.219055026000000,0.193270060000000,0.302486298000000,0.605163540000000,67.596000000000004,-0.023455271000000,-0.066968714000000,67.619455270000003,0.372621473000000,0.419314648000000,1.479144385000000,1.534735088000000,61.432000000000002,90.956000000000003,57.314999999999998,71.488679259999998,0.210088506000000,0.193742289000000,0.310540322000000,0.630139848000000,63.164999999999999,-0.023610535000000,-0.051096074000000,63.188610529999998,0.373466126000000,0.402919395000000,1.480596432000000,1.515195862000000,53.878999999999998,80.120000000000005,46.843000000000004,61.958124810000001,0.228071520000000,0.195829820000000,0.301080821000000,0.584660509000000,59.518000000000001,-0.025930923000000,-0.080400571000000,59.543930920000001,0.377194488000000,0.435573142000000,1.487035765000000,1.557971220000000,39.573999999999998,50.570000000000000,32.658999999999999,41.593415569999998,0.166732998000000,0.121982606000000,0.191284683000000,0.645817678000000,28.907000000000000,0.039360602000000,-0.039472977000000,28.867639400000002,0.240388292000000,0.328559089000000,1.277859200000000,1.362252324000000,1150.898650999999973,17.923599719999999,10141.184080000000904,181.092361399999987,-93.537196410000007,44.065337769999999,4,0
302,302,33.838000000000001,55.151000000000003,32.509000000000000,41.807009479999998,0.248826769000000,0.239501511000000,0.377354816000000,0.589454407000000,43.954999999999998,-0.064015869000000,-0.079329701000000,44.019015869999997,0.453017498000000,0.468794511000000,1.629854010000000,1.651745999000000,60.085999999999999,88.474999999999994,56.606999999999999,69.862974149999999,0.205204960000000,0.191093221000000,0.308730452000000,0.639807855000000,60.256999999999998,-0.021224557000000,-0.044964127000000,60.278224559999998,0.368721962000000,0.394201848000000,1.472472789000000,1.502010706000000,42.347999999999999,65.551000000000002,37.482999999999997,49.984204149999997,0.243067704000000,0.215043698000000,0.329513179000000,0.571814313000000,51.271000000000001,-0.043085114000000,-0.089934105000000,51.314085110000001,0.411077609000000,0.460483021000000,1.547912534000000,1.612110987000000,24.978000000000002,35.585000000000001,22.398000000000000,28.236283470000000,0.200715334000000,0.175139937000000,0.277924800000000,0.629422509000000,23.794000000000000,-0.007422765000000,-0.050961295000000,23.801422760000001,0.339855158000000,0.387147850000000,1.424653695000000,1.477325972000000,1158.488953000000038,17.655717849999998,12391.303470000000743,221.273021699999987,-93.539396609999997,44.065414969999999,2,0
303,303,63.363999999999997,94.233000000000004,57.204000000000001,73.410154610000006,0.219710453000000,0.195873018000000,0.307481597000000,0.607048486000000,67.897999999999996,-0.025714033000000,-0.065862822000000,67.923714029999999,0.377271545000000,0.420262334000000,1.487169371000000,1.538689615000000,62.704000000000001,92.864999999999995,58.552999999999997,72.993501190000003,0.210018665000000,0.193875386000000,0.310886864000000,0.630517418000000,64.472999999999999,-0.023721990000000,-0.050862592000000,64.496721989999998,0.373704108000000,0.402784347000000,1.481005996000000,1.515173153000000,54.866999999999997,80.805999999999997,47.243000000000002,62.641568659999997,0.225623952000000,0.191187635000000,0.293328056000000,0.584647180000000,59.502000000000002,-0.021825319000000,-0.080177787000000,59.523825320000000,0.368891293000000,0.431666433000000,1.472761405000000,1.547991787000000,39.686999999999998,50.759999999999998,32.741999999999997,41.727984749999997,0.167238673000000,0.122425288000000,0.191889784000000,0.645035461000000,29.091000000000001,0.038979130000000,-0.039948372000000,29.052020870000000,0.241234958000000,0.329500197000000,1.279008239000000,1.363619439000000,1150.491211000000021,18.049906730000000,10422.569820000000618,186.117084500000004,-93.537196410000007,44.065299170000003,4,0
304,304,63.119000000000000,94.353999999999999,57.003000000000000,73.339456150000004,0.222083347000000,0.198351463000000,0.310888823000000,0.604139729000000,68.585999999999999,-0.027916410000000,-0.067838826000000,68.613916410000002,0.381686134000000,0.424354341000000,1.494858917000000,1.546463181000000,62.075000000000003,91.971999999999994,57.652999999999999,72.194235269999993,0.211465002000000,0.194077132000000,0.310154159000000,0.626853825000000,64.215999999999994,-0.023934813000000,-0.053178082000000,64.239934809999994,0.374064766000000,0.405397670000000,1.481627064000000,1.518540841000000,53.795000000000002,79.930999999999997,48.259999999999998,62.214399149999998,0.220707323000000,0.195444416000000,0.305805818000000,0.603770752000000,57.807000000000002,-0.025375578000000,-0.067955777000000,57.832375579999997,0.376506829000000,0.422122539000000,1.485844409000000,1.540550057000000,38.191000000000003,50.387000000000000,32.387999999999998,41.013757020000000,0.176215182000000,0.137686559000000,0.217049297000000,0.642784845000000,30.195000000000000,0.025465007000000,-0.041696014000000,30.169534989999999,0.270249832000000,0.344808147000000,1.319342253000000,1.393774707000000,1150.092621000000008,18.153789520000000,10466.322019999999611,186.898372599999988,-93.537196410000007,44.065260570000000,4,0
305,305,63.954999999999998,95.043000000000006,56.920999999999999,73.854393040000005,0.222567388000000,0.195524472000000,0.304554405000000,0.598897341000000,69.209999999999994,-0.025500303000000,-0.071108147000000,69.235500299999998,0.376649694000000,0.425515141000000,1.486091783000000,1.544884774000000,60.296999999999997,89.909000000000006,56.118000000000002,70.400251929999996,0.214030847000000,0.197142591000000,0.314726639000000,0.624164433000000,63.402999999999999,-0.026624145000000,-0.054980516000000,63.429624140000001,0.379534497000000,0.409848034000000,1.491102377000000,1.527196446000000,53.229999999999997,79.787999999999997,47.847000000000001,61.884013160000002,0.224432483000000,0.199657189000000,0.311819751000000,0.599676643000000,58.499000000000002,-0.029115639000000,-0.070783181000000,58.528115640000003,0.384006721000000,0.428499971000000,1.498929175000000,1.553100633000000,38.180000000000000,50.155000000000001,32.142000000000003,40.850722509999997,0.175746636000000,0.135563480000000,0.213104835000000,0.640853355000000,29.988000000000000,0.027366219000000,-0.042798210000000,29.960633779999998,0.266234251000000,0.344227574000000,1.313645888000000,1.391151405000000,1149.716705000000047,18.235969069999999,10264.814210000000458,183.300029800000004,-93.537196410000007,44.065221970000003,4,0
306,306,64.742000000000004,95.739000000000004,59.018000000000001,74.923532150000000,0.214815473000000,0.193150591000000,0.305500527000000,0.616446798000000,67.718000000000004,-0.023235641000000,-0.059744236000000,67.741235639999999,0.372407711000000,0.411569580000000,1.478777301000000,1.525070485000000,60.639000000000003,90.465000000000003,56.265999999999998,70.773976630000007,0.214968019000000,0.197387230000000,0.314494190000000,0.621964296000000,64.025000000000006,-0.026862130000000,-0.056385205000000,64.051862130000004,0.379970169000000,0.411527434000000,1.491861673000000,1.529512572000000,53.363000000000000,79.951999999999998,47.633000000000003,61.937696549999998,0.225787658000000,0.199444924000000,0.310321888000000,0.595769962000000,58.908000000000001,-0.028979596000000,-0.073312775000000,58.936979600000001,0.383629718000000,0.430984181000000,1.498266589000000,1.556025650000000,38.621000000000002,50.183000000000000,32.234999999999999,41.024425059999999,0.172349348000000,0.130196838000000,0.204387562000000,0.642349003000000,29.510000000000002,0.032108659000000,-0.041755137000000,29.477891339999999,0.256053262000000,0.338371068000000,1.299370809000000,1.379978183000000,1149.404479999999921,18.296695710000002,10169.687500000000000,181.601356500000009,-93.537196410000007,44.065183370000000,4,0
307,307,65.224999999999994,97.668999999999997,59.387000000000000,75.983221729999997,0.221053290000000,0.199172468000000,0.313447400000000,0.608043494000000,70.725999999999999,-0.028585439000000,-0.065355114000000,70.754585440000000,0.383145673000000,0.422412721000000,1.497416635000000,1.544910457000000,66.594999999999999,97.662999999999997,62.917999999999999,77.312418829999999,0.202601904000000,0.189141473000000,0.306571936000000,0.644235790000000,65.813000000000002,-0.019500299000000,-0.042160263000000,65.832500300000007,0.365217474000000,0.389569052000000,1.466521511000000,1.494522485000000,50.805000000000000,77.331999999999994,44.784999999999997,59.349480409999998,0.236056167000000,0.207020611000000,0.318252711000000,0.579126364000000,59.073999999999998,-0.035883231000000,-0.084621968000000,59.109883230000001,0.397025680000000,0.448781816000000,1.522133648000000,1.587422339000000,35.850000000000001,48.421999999999997,31.882999999999999,39.354958490000001,0.176883769000000,0.149183596000000,0.239974040000000,0.658440378000000,29.111000000000001,0.015221041000000,-0.032592656000000,29.095778960000001,0.291871377000000,0.344549714000000,1.350683403000000,1.404472523000000,1149.159973000000036,18.348094459999999,10214.134519999999611,182.395042399999994,-93.537196410000007,44.065144770000003,4,0
308,308,65.316999999999993,97.338999999999999,59.116000000000000,75.797741540000004,0.220127166000000,0.196869467000000,0.309271779000000,0.607320807000000,70.245000000000005,-0.026582256000000,-0.065727865000000,70.271582260000002,0.379047950000000,0.420930827000000,1.490255217000000,1.540588341000000,61.671999999999997,90.837999999999994,57.734999999999999,71.620081110000001,0.206816725000000,0.191239919000000,0.307739383000000,0.635582025000000,62.268999999999998,-0.021390283000000,-0.047606364000000,62.290390279999997,0.368985055000000,0.397124938000000,1.472921261000000,1.505634655000000,51.866999999999997,78.450999999999993,45.576999999999998,60.337959359999999,0.233768174000000,0.203993309000000,0.313708830000000,0.580961364000000,59.457999999999998,-0.033185707000000,-0.083249666000000,59.491185710000003,0.391687231000000,0.444986371000000,1.512541693000000,1.579078684000000,37.591000000000001,49.850999999999999,32.344000000000001,40.596961370000002,0.175474690000000,0.140207223000000,0.222512614000000,0.648813464000000,29.766999999999999,0.023178001000000,-0.038146361000000,29.743822000000002,0.275008315000000,0.342958856000000,1.326141896000000,1.394220987000000,1148.774413999999979,18.384850499999999,10274.616700000000492,183.475086199999993,-93.537196410000007,44.065106170000000,4,0
309,309,63.600000000000001,95.263999999999996,57.404000000000003,73.971636259999997,0.223168085000000,0.199315137000000,0.312083580000000,0.602578099000000,69.524000000000001,-0.028779107000000,-0.068888601000000,69.552779110000003,0.383399159000000,0.426236241000000,1.497861635000000,1.549869668000000,60.317999999999998,88.649000000000001,55.825000000000003,69.793354390000005,0.208406460000000,0.190183061000000,0.304169977000000,0.629730736000000,61.155000000000001,-0.020527169000000,-0.051242236000000,61.175527170000002,0.367088672000000,0.400092093000000,1.469693955000000,1.508070932000000,51.965000000000003,77.542000000000002,45.409999999999997,59.931046739999999,0.228587612000000,0.197495116000000,0.304136890000000,0.585618117000000,57.709000000000003,-0.027390134000000,-0.079855017000000,57.736390129999997,0.380162261000000,0.436313458000000,1.492196671000000,1.560724891000000,39.000999999999998,51.259999999999998,32.795000000000002,41.729995709999997,0.176254618000000,0.135817241000000,0.213326141000000,0.639777604000000,30.724000000000000,0.027153491000000,-0.043451762000000,30.696846510000000,0.266714579000000,0.345195576000000,1.314325274000000,1.392410017000000,1148.487090999999964,18.420772549999999,10205.635249999999360,182.243267099999997,-93.537196410000007,44.065067569999997,4,0
310,310,65.218000000000004,96.668000000000006,58.811999999999998,75.403229580000001,0.218378780000000,0.194272513000000,0.305120593000000,0.608391608000000,69.305999999999997,-0.024299269000000,-0.064935795000000,69.330299269999998,0.374413965000000,0.417979853000000,1.482228833000000,1.534148733000000,59.540999999999997,88.183999999999997,55.432000000000002,69.268210990000000,0.210732441000000,0.193894060000000,0.310348564000000,0.628594756000000,61.395000000000003,-0.023757980000000,-0.052074012000000,61.418757980000002,0.373737494000000,0.404079060000000,1.481063469000000,1.516754097000000,51.384000000000000,77.441000000000003,45.356999999999999,59.706731570000002,0.231063933000000,0.202266641000000,0.312179518000000,0.585697499000000,58.140999999999998,-0.031595687000000,-0.080038121000000,58.172595690000001,0.388633584000000,0.440274032000000,1.507103378000000,1.571036148000000,37.514000000000003,49.598999999999997,31.590000000000000,40.271119079999998,0.178809521000000,0.138727859000000,0.217657547000000,0.636908002000000,30.094000000000001,0.024604264000000,-0.045264231000000,30.069395740000001,0.272216792000000,0.349780178000000,1.322146399000000,1.400025399000000,1148.220550999999887,18.435539720000001,10256.244870000000446,183.147018400000007,-93.537196410000007,44.065028970000000,4,0
311,311,64.388000000000005,93.659000000000006,57.856000000000002,73.632283590000000,0.210213140000000,0.185204401000000,0.292151990000000,0.617730277000000,65.073999999999998,-0.016284165000000,-0.058640223000000,65.090284159999996,0.358124879000000,0.403831245000000,1.454603342000000,1.507351738000000,57.979999999999997,85.564999999999998,53.396999999999998,67.167177580000001,0.211509803000000,0.192169703000000,0.305996805000000,0.624051890000000,59.753000000000000,-0.022306060000000,-0.054885195000000,59.775306059999998,0.370651543000000,0.405613748000000,1.475767506000000,1.516793554000000,50.820999999999998,75.847999999999999,44.411999999999999,58.617741590000001,0.228660870000000,0.197577939000000,0.304253741000000,0.585539500000000,56.463000000000001,-0.027464184000000,-0.079910686000000,56.490464179999996,0.380309712000000,0.436437577000000,1.492453907000000,1.560974127000000,37.613000000000000,49.835000000000001,32.052999999999997,40.520199910000002,0.177186186000000,0.139763059000000,0.220633631000000,0.643182502000000,30.004000000000001,0.023624907000000,-0.041512623000000,29.980375089999999,0.274170550000000,0.346400211000000,1.324940845000000,1.397429034000000,1147.959229000000050,18.431346420000001,10361.069820000000618,185.018882800000000,-93.537196410000007,44.064990369999997,4,0
